id,R_ID,Q_ID,Q_code,Question,Q_status,IS,X,L,Q_detail,QA_id,Q_img,Q_Check,Q_Comment,desc,A_code,a_type,a_no,A2_code,g_choice,status,ans_id,g_ans,remark,skip,end,multiple choice,add,q,A_Check,A_Comment,edit gude,EDITED
11,R01,Q04,R01Q04,สิ่งกีดขวางระดับศีรษะ,on,3,2,1,ทางเท้ามีสิ่งกีดขวางในเหนือแนวทางเดิน และมีพื้นที่ใต้วัตถุนั้นไม่น้อยกว่า 200 ซม.,,https://drive.google.com/open?id=1maKLMdxENOA-8CAn5mN21edPqyyWTNq3&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,"แก้คำเป็น ""ทางเท้ามีสิ่งกีดขวางในเหนือแนวทางเดิน และมีพื้นที่ใต้วัตถุนั้นไม่น้อยกว่า 200 ซม."" และเสนอให้แยกข้อสะพานลอย",P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขที่กำหนด,on,,P1 : ผ่านตามเงื่อนไขที่กำหนด,checkbox,0,0,0,0,สิ่งกีดขวางระดับศีรษะ,ผ่าน,,,TRUE
12,R01,Q04,R01Q04,สิ่งกีดขวางระดับศีรษะ,on,3,2,1, หากมีสิ่งกีดขวางในแนวทางเดินระดับศีรษะ ต้องอยู่สูงจากพื้นไม่น้อยกว่า 2 ม. หากมีสะพานลอย ให้ติดตั้งแนวรั้วกั้น,,https://drive.google.com/open?id=1maKLMdxENOA-8CAn5mN21edPqyyWTNq3&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,P2: ไม่มีสิ่งกีดขวางในระดับศีรษะ,P2,P,2,P2,ไม่มีสิ่งกีดขวางในระดับศีรษะ,on,,P2 : ไม่มีสิ่งกีดขวางในระดับศีรษะ,checkbox,0,0,0,0,สิ่งกีดขวางระดับศีรษะ,ผ่าน,,,TRUE
13,R01,Q04,R01Q04,สิ่งกีดขวางระดับศีรษะ,on,3,2,1, หากมีสิ่งกีดขวางในแนวทางเดินระดับศีรษะ ต้องอยู่สูงจากพื้นไม่น้อยกว่า 2 ม. หากมีสะพานลอย ให้ติดตั้งแนวรั้วกั้น,,https://drive.google.com/open?id=1maKLMdxENOA-8CAn5mN21edPqyyWTNq3&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,D3: ป้ายหรือสิ่งอื่นใดแขวนอยู่เหนือทางเท้า <2m,D3,D,1,D1,ป้ายหรือสิ่งอื่นใดแขวนอยู่สูงจากทางเท้ามากกว่า 2 เมตร,on,,D1 : ป้ายหรือสิ่งอื่นใดแขวนอยู่สูงจากทางเท้ามากกว่า 2 เมตร,checkbox,0,0,0,0,สิ่งกีดขวางระดับศีรษะ,ผ่าน,,,TRUE
14,R01,Q04,R01Q04,สิ่งกีดขวางระดับศีรษะ,on,3,2,1, หากมีสิ่งกีดขวางในแนวทางเดินระดับศีรษะ ต้องอยู่สูงจากพื้นไม่น้อยกว่า 2 ม. หากมีสะพานลอย ให้ติดตั้งแนวรั้วกั้น,,https://drive.google.com/open?id=1maKLMdxENOA-8CAn5mN21edPqyyWTNq3&authuser=nati%40satarana.com&usp=drive_fs,ไม่เข้าใจ,,D4: ไม่มีแนวรั้วกั้นใต้บันไดสะพานลอย,D4,D,2,D2,มีสะพายลอย แต่ไม่มีแนวรั้วกั้นใต้บันไดสะพานลอย,off,,D2 : มีสะพายลอย แต่ไม่มีแนวรั้วกั้นใต้บันไดสะพานลอย,checkbox,0,0,0,0,สิ่งกีดขวางระดับศีรษะ,ไม่เข้าใจ,เสนอแยกข้อสะพานลอย,แก้,TRUE
15,R01,Q04,R01Q04,สิ่งกีดขวางระดับศีรษะ,,,,,,,,,,D5: ตรงกับ D มากกว่า 1 ข้อหรือทุกข้อ,D5,D,3,D3,ตรงกับ D มากกว่า 1 ข้อ,off,,D3 : ตรงกับ D มากกว่า 1 ข้อ,,0,0,5,0,สิ่งกีดขวางระดับศีรษะ,,,,
16,R01,Q05,R01Q05,พื้นต่างระดับ (ปาดมุม),on,2,1,1, กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2 ซม. ให้ปาดมุม 45 องศา หากมากกว่า 2 ซม. ให้ทำเป็นทางลาด ความลาดเอียง 1:12,,https://drive.google.com/open?id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขทุกประการ,on,,P1 : ผ่านตามเงื่อนไขทุกประการ,,0,0,0,0,พื้นต่างระดับ (ปาดมุม),ผ่าน,,,TRUE
17,R01,Q05,R01Q05,พื้นต่างระดับ (ปาดมุม),on,2,1,1, กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2 ซม. ให้ปาดมุม 45 องศา หากมากกว่า 2 ซม. ให้ทำเป็นทางลาด ความลาดเอียง 1:12,,https://drive.google.com/open?id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,P2: พื้นทางเท้าไม่มีความต่างระดับ,P2,P,2,P2,พื้นทางเท้าไม่มีความต่างระดับ,on,,P2 : พื้นทางเท้าไม่มีความต่างระดับ,,0,0,0,0,พื้นต่างระดับ (ปาดมุม),ผ่าน,,,TRUE
18,R01,Q05,R01Q05,พื้นต่างระดับ (ปาดมุม),on,2,1,1, กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2 ซม. ให้ปาดมุม 45 องศา หากมากกว่า 2 ซม. ให้ทำเป็นทางลาด ความลาดเอียง 1:12,,https://drive.google.com/open?id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,M3: ต่างระดับ <=2cm และปาดมุม >45 องศา,M3,M,1,M1,เป็นพื้นต่างระดับน้อยกว่า 2 ซม. และปาดมุมเอียงน้อยกว่า 45 องศา,on,,M1 : เป็นพื้นต่างระดับน้อยกว่า 2 ซม. และปาดมุมเอียงน้อยกว่า 45 องศา,,0,0,0,0,พื้นต่างระดับ (ปาดมุม),ผ่าน,,,TRUE
19,R01,Q05,R01Q05,พื้นต่างระดับ (ปาดมุม),on,2,1,1, กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2 ซม. ให้ปาดมุม 45 องศา หากมากกว่า 2 ซม. ให้ทำเป็นทางลาด ความลาดเอียง 1:12,,https://drive.google.com/open?id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,M4: ต่างระดับ >2cm และมีทางลาดซึ่งมีความลาดเอียง <=1:8,M4,M,2,M2,เป็นพื้นต่างระดับมากกว่า 2 ซม. และมีทางลาดซึ่งมีความลาดเอียงไม่เกิน 1:8,on,,M2 : เป็นพื้นต่างระดับมากกว่า 2 ซม. และมีทางลาดซึ่งมีความลาดเอียงไม่เกิน 1:8,,0,0,0,0,พื้นต่างระดับ (ปาดมุม),ผ่าน,,,TRUE
20,R01,Q05,R01Q05,พื้นต่างระดับ (ปาดมุม),on,2,1,1, กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2 ซม. ให้ปาดมุม 45 องศา หากมากกว่า 2 ซม. ให้ทำเป็นทางลาด ความลาดเอียง 1:12,,https://drive.google.com/open?id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,D5: ต่างระดับเกิน 2cm และมีทางลาดซึ่งมีความลาดเอียง >1:8,D5,D,1,D1,เป็นพื้นต่างระดับเกิน 2 ซม. และมีทางลาดซึ่งมีความลาดเอียงมากกว่า 1:8,on,,D1 : เป็นพื้นต่างระดับเกิน 2 ซม. และมีทางลาดซึ่งมีความลาดเอียงมากกว่า 1:8,,0,0,0,0,พื้นต่างระดับ (ปาดมุม),ผ่าน,,,TRUE
21,R01,Q05,R01Q05,พื้นต่างระดับ (ปาดมุม),on,2,1,1, กรณีทางเท้ามีพื้นต่างระดับกัน หากพื้นต่างระดับไม่เกิน 2 ซม. ให้ปาดมุม 45 องศา หากมากกว่า 2 ซม. ให้ทำเป็นทางลาด ความลาดเอียง 1:12,,https://drive.google.com/open?id=1jl0HHH6KpSHC2NGiVGVhPbpCFHYK_oA5&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,D6: ต่างระดับเกิน 2cm และไม่มีทางลาด (ข้ามไป Q08),D6,D,2,D2,เป็นพื้นต่างระดับเกิน 2 ซม. และไม่มีทางลาด,on,,D2 : เป็นพื้นต่างระดับเกิน 2 ซม. และไม่มีทางลาด,,39,0,0,0,พื้นต่างระดับ (ปาดมุม),ผ่าน,,,TRUE
,R01,Q06,R01Q06,ความกว้างของทางลาด,on,2,4,1, ทางลาดที่อยู่ในแนวทางเท้า มีความกว้างไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=1jmL8TiOcksJNfFSePOdt4d0v4J6QtfvT&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,D2 : ไม่มีทางลาด,-,D,2,D2,ไม่มีทางลาด,on,,D2 : ไม่มีทางลาด,,,,,,,ผ่าน,,,TRUE
22,R01,Q06,R01Q06,ความกว้างของทางลาด,on,2,4,1, ทางลาดที่อยู่ในแนวทางเท้า มีความกว้างไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=1jmL8TiOcksJNfFSePOdt4d0v4J6QtfvT&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขทุกประการ,on,,P1 : ผ่านตามเงื่อนไขทุกประการ,,0,0,0,0,ความกว้างของทางลาด,ผ่าน,,,TRUE
23,R01,Q06,R01Q06,ความกว้างของทางลาด,on,2,4,1, ทางลาดที่อยู่ในแนวทางเท้า มีความกว้างไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=1jmL8TiOcksJNfFSePOdt4d0v4J6QtfvT&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,P2: ทางเท้าเป็นพื้นเรียบเสมอกัน ไม่จำเป็นต้องมีทางลาด (ข้ามไป Q08),P2,P,2,P2,ทางเท้าเป็นพื้นเรียบเสมอกัน ไม่จำเป็นต้องมีทางลาด (ข้ามไป Q08),off,,P2 : ทางเท้าเป็นพื้นเรียบเสมอกัน ไม่จำเป็นต้องมีทางลาด (ข้ามไป Q08),,56,0,0,0,ความกว้างของทางลาด,ผ่าน,,,TRUE
24,R01,Q06,R01Q06,ความกว้างของทางลาด,on,2,4,1, ทางลาดที่อยู่ในแนวทางเท้า มีความกว้างไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=1jmL8TiOcksJNfFSePOdt4d0v4J6QtfvT&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,D3: ทางลาดกว้าง <90cm,D3,D,1,D1,ทางลาดแคบกว่า 90 ซม.,on,,D1 : ทางลาดแคบกว่า 90 ซม.,,0,0,0,0,ความกว้างของทางลาด,ผ่าน,,,TRUE
,R01,Q06,R01Q06,ความกว้างของทางลาด,on,2,4,1, ทางลาดที่อยู่ในแนวทางเท้า มีความกว้างไม่น้อยกว่า 90 ซม.,,https://drive.google.com/open?id=1jmL8TiOcksJNfFSePOdt4d0v4J6QtfvT&authuser=nati@satarana.com&usp=drive_fs,ผ่าน,,,,D,2,D2,เป็นพื้นต่างระดับเกิน 2 ซม. และไม่มีทางลาด,off,,D2 : เป็นพื้นต่างระดับเกิน 2 ซม. และไม่มีทางลาด,,0,0,0,0,ความกว้างของทางลาด,ผ่าน,,,TRUE
25,R01,Q07,R01Q07,ความต่างระดับบนทางเท้า,on,2,2,1, ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่มากกว่า 1:12 (5 องศา),,-,ไม่เข้าใจ,"แก้คำเป็น ""ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่ชันกว่า 1:12 (หรือ 5 องศา)""",P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงน้อยกว่า 1:12 ทุกจุด (5 องศา),on,,P1 : ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงน้อยกว่า 1:12 ทุกจุด (5 องศา),,0,0,0,0,ความลาดเอียงของทางลาด,ผ่าน,,,TRUE
,R01,Q07,R01Q07,ความต่างระดับบนทางเท้า,on,2,2,1, ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่มากกว่า 1:12 (5 องศา),,-,ไม่เข้าใจ,,,,,,P2,ทางเท้าเป็นพื้นเรียบเสมอกัน ไม่จำเป็นต้องมีทางลาด,,,P2 : ทางเท้าเป็นพื้นเรียบเสมอกัน ไม่จำเป็นต้องมีทางลาด,,,,,,,,,,TRUE
26,R01,Q07,R01Q07,ความต่างระดับบนทางเท้า,on,2,2,1, ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่มากกว่า 1:12 (5 องศา),,-,ไม่เข้าใจ,,M2: ความลาดเอียง <=1:8 (7.1250 องศา),M2,M,1,M1,ทางลาดมีความชันมากกว่า  1:12 (5 องศา) แต่ไม่ชันไปกว่า 1:8 (7 องศา),on,,M1 : ทางลาดมีความชันมากกว่า  1:12 (5 องศา) แต่ไม่ชันไปกว่า 1:8 (7 องศา),,0,0,0,0,ความลาดเอียงของทางลาด,ไม่เข้าใจ,แก้คำเป็น ทางลาดมีความชันมากกว่า  1:12 แต่ไม่ชันไปกว่า 1:8 (  องศา),แก้,TRUE
27,R01,Q07,R01Q07,ความต่างระดับบนทางเท้า,on,2,2,1, ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่มากกว่า 1:12 (5 องศา),,-,ผ่าน,,D3: ความลาดเอียง >1:8 (7.1250 องศา),D3,D,1,D1,ทางลาดมีความชันมากกว่า 1:8 (7 องศา),on,,D1 : ทางลาดมีความชันมากกว่า 1:8 (7 องศา),,0,0,0,0,ความลาดเอียงของทางลาด,ไม่เข้าใจ,"แก้คำเป็น ""ทางลาดมีความชันมากกว่า 1:8 ( องศา)""",,TRUE
,R01,Q07,R01Q07,ความต่างระดับบนทางเท้า,on,2,2,1, ทางลาดที่อยู่ในแนวทางเท้า มีความลาดเอียงไม่มากกว่า 1:12 (5 องศา),,-,ไม่เข้าใจ,,,,D,2,D2,มีพื้นต่างระดับเกิน 2 ซม. และไม่มีทางลาด,on,,D2 : มีพื้นต่างระดับเกิน 2 ซม. และไม่มีทางลาด,,0,0,0,0,ความลาดเอียงของทางลาด,ผ่าน,,,TRUE
28,R01,Q08,R01Q08,พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด,on,1,1,2, มีพื้นผิวต่างสัมผัสชนิดเตือนครบทุกทางเลี้ยว ทางแยก ทางต่างระดับ หรือบริเวณที่มีสิ่งกีดขวาง และติดตั้งอย่างถูกต้อง,,https://drive.google.com/open?id=12KHKFsLfrop-i8zOuOMxRQg3vGG5aTJq&authuser=nati%40satarana.com&usp=drive_fs,ผ่าน,พร้อมภาพปลากรอบ,P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขทุกประการ,on,,P1 : ผ่านตามเงื่อนไขทุกประการ,,0,0,0,0,พื้นผิวต่างสัมผัสชนิดเตือน,ผ่าน,,,TRUE
29,R01,Q08,R01Q08,พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด,on,1,1,2, มีพื้นผิวต่างสัมผัสชนิดเตือนครบทุกทางเลี้ยว ทางแยก ทางต่างระดับ หรือบริเวณที่มีสิ่งกีดขวาง และติดตั้งอย่างถูกต้อง,,https://drive.google.com/open?id=12KHKFsLfrop-i8zOuOMxRQg3vGG5aTJq&authuser=nati%40satarana.com&usp=drive_fs,ผ่าน,,D2: มีแต่ติดตั้งไม่ถูกต้อง,D2,D,1,D1,มี แต่ติดตั้งไม่ถูกต้อง,on,,D1 : มี แต่ติดตั้งไม่ถูกต้อง,,0,0,0,0,พื้นผิวต่างสัมผัสชนิดเตือน,ผ่าน,ตามตัวอย่างในภาพปลากรอบ,,TRUE
30,R01,Q08,R01Q08,พื้นผิวต่างสัมผัสชนิดเตือนบริเวณทางลาด,on,1,1,2, มีพื้นผิวต่างสัมผัสชนิดเตือนครบทุกทางเลี้ยว ทางแยก ทางต่างระดับ หรือบริเวณที่มีสิ่งกีดขวาง และติดตั้งอย่างถูกต้อง,,https://drive.google.com/open?id=12KHKFsLfrop-i8zOuOMxRQg3vGG5aTJq&authuser=nati%40satarana.com&usp=drive_fs,ผ่าน,,D3: ไม่มีพื้นผิวต่างสัมผัสชนิดเตือน,D3,D,2,D2,ไม่มีพื้นผิวต่างสัมผัสชนิดเตือน,on,,D2 : ไม่มีพื้นผิวต่างสัมผัสชนิดเตือน,,0,0,0,0,พื้นผิวต่างสัมผัสชนิดเตือน,ผ่าน,,,TRUE
31,R01,Q09,R01Q09,ราวกันตกและขอบกันตก,on,1,2,2,ในกรณีที่ทางเท้ามีต่างระดับที่ทำให้เกิดอันตรายได้ ต้องมีราวกันตกและขอบกันตกที่ติดตั้งถูกต้องตามมาตราฐาน,,https://drive.google.com/open?id=1pOpe0l1Lhtitc89saBw4c9ZTchDiuE2g&authuser=nati@satarana.com&usp=drive_fs,ไม่เข้าใจ,"แก้คำเป็น ""ในกรณีที่ทางเท้ามีต่างระดับที่ทำให้เกิดอันตรายได้ ต้องมีราวกันตกและขอบกันตกที่ติดตั้งถูกต้องตามมาตราฐาน""",P1: ผ่านตามเงื่อนไขทุกประการ,P1,P,1,P1,ผ่านตามเงื่อนไขทุกประการ,on,,P1 : ผ่านตามเงื่อนไขทุกประการ,,0,0,0,0,ราวกันตกและขอบกันตก,ผ่าน,,,TRUE
32,R01,Q09,R01Q09,ราวกันตกและขอบกันตก,on,1,2,2,ในกรณีที่ทางเท้ามีต่างระดับที่ทำให้เกิดอันตรายได้ ต้องมีราวกันตกและขอบกันตกที่ติดตั้งถูกต้องตามมาตราฐาน,,https://drive.google.com/open?id=1pOpe0l1Lhtitc89saBw4c9ZTchDiuE2g&authuser=nati@satarana.com&usp=drive_fs,ไม่เข้าใจ,,P2: ไม่มีจุดที่จำเป็นต้องติดตั้งราวกันตกและขอบกันตก,P2,P,2,P2,ไม่มีจุดที่จำเป็นต้องติดตั้งราวกันตกและขอบกันตก,on,,P2 : ไม่มีจุดที่จำเป็นต้องติดตั้งราวกันตกและขอบกันตก,,0,0,0,0,ราวกันตกและขอบกันตก,ผ่าน,,,TRUE
